iter	Logloss
0	0.6077301965
1	0.5406186606
2	0.4911597915
3	0.451634069
4	0.4209462652
5	0.4009963471
6	0.3844664732
7	0.3730608103
8	0.3630998712
9	0.3500972324
10	0.3408283947
11	0.3319696433
12	0.3271488471
13	0.3190404598
14	0.3143010151
15	0.3103226659
16	0.3055851978
17	0.3018169082
18	0.2985941636
19	0.2945575251
20	0.2920979529
21	0.2886614376
22	0.2849243068
23	0.282607202
24	0.2806510306
25	0.2781235288
26	0.2763191107
27	0.2732001795
28	0.2712101604
29	0.2692734293
30	0.2678644867
31	0.266621943
32	0.2652757116
33	0.2628949008
34	0.261548765
35	0.2604959619
36	0.2591238232
37	0.2581242145
38	0.2569897026
39	0.2559879149
40	0.2551456786
41	0.2534614574
42	0.2525146307
43	0.2516902473
44	0.2509697622
45	0.2501402356
46	0.248642965
47	0.2479583108
48	0.2472915623
49	0.2466218361
50	0.2460068914
51	0.2454460363
52	0.2449471684
53	0.2441553391
54	0.2433221588
55	0.2428120109
56	0.2423453513
57	0.2408482148
58	0.240333926
59	0.2393390632
60	0.2385851161
61	0.2369718688
62	0.2364624235
63	0.2360349536
64	0.2356545017
65	0.2352392333
66	0.2348567364
67	0.2341937981
68	0.2338267168
69	0.2335013085
70	0.233214819
71	0.2329175335
72	0.2324663213
73	0.2321354224
74	0.2316909473
75	0.2313339488
76	0.2308121367
77	0.2305407067
78	0.2298590685
79	0.229190624
80	0.2288978228
81	0.2286529194
82	0.2278453785
83	0.227596364
84	0.2273795778
85	0.2271398098
86	0.2268902835
87	0.2266940131
88	0.2262712056
89	0.2258772946
90	0.2255305014
91	0.2253229253
92	0.2250379912
93	0.2248144365
94	0.2244794838
95	0.2236735436
96	0.2234257017
97	0.2232273986
98	0.2230375129
99	0.2228353447
100	0.2226694426
101	0.2224351916
102	0.2222515897
103	0.2220857244
104	0.2217551033
105	0.2215673988
106	0.2211009754
107	0.2206889171
108	0.220465095
109	0.2203364298
110	0.2202236592
111	0.2199790453
112	0.2193326271
113	0.2189957643
114	0.2188499854
115	0.2187333819
116	0.2185554717
117	0.2183647962
118	0.2182213946
119	0.2180730286
120	0.2179253855
121	0.2178132521
122	0.2176486144
123	0.2175414143
124	0.2174117956
125	0.2171685469
126	0.2168307652
127	0.216662465
128	0.2165287291
129	0.2164163758
130	0.2163306136
131	0.2159109988
132	0.2157938714
133	0.2156715109
134	0.2154867664
135	0.2153334467
136	0.2152284101
137	0.2151235234
138	0.2150116406
139	0.2143714948
140	0.2142074356
141	0.2141362476
142	0.2140423451
143	0.2139091486
144	0.2138109012
145	0.2137081103
146	0.2134865635
147	0.2133951007
148	0.2133073264
149	0.2130261688
150	0.2129390431
151	0.2128588786
152	0.2127661552
153	0.2126865451
154	0.2125313607
155	0.2124467007
156	0.2123662152
157	0.2122630766
158	0.2121633801
159	0.2117869333
160	0.2116423862
161	0.2115543537
162	0.2114051454
163	0.2113224153
164	0.2112477914
